timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
5/31/2024,165.7,166.97,163.84,166.85,166.85,4905002,0,1
5/30/2024,165.56,166.73,164.23,165.63,165.63,3852963,0,1
5/29/2024,168,168.63,166.21,167.05,167.05,4206576,0,1
5/28/2024,170.44,171.085,168.65,169.66,169.66,2629645,0,1
5/24/2024,171.48,172.01,170.21,170.89,170.89,2587829,0,1
5/23/2024,175.39,175.46,170.435,170.67,170.67,3341335,0,1
5/22/2024,173.39,174.99,172.76,173.69,173.69,3294900,0,1
5/21/2024,169.94,174.97,169.94,173.47,173.47,6459800,0,1
5/20/2024,169,170.16,168.38,169.92,169.92,2726261,0,1
5/17/2024,168.97,169.11,167.33,169.03,169.03,2956387,0,1
5/16/2024,168.26,169.63,167.79,168.97,168.97,3492267,0,1
5/15/2024,167.94,168.35,167.34,168.26,168.26,4468823,0,1
5/14/2024,167.86,168.13,166.48,167.36,167.36,2600967,0,1
5/13/2024,167.5,168.06,166.76,167.56,167.56,2414859,0,1
5/10/2024,167.13,168.07,166.32,167.15,167.15,2255370,0,1
5/9/2024,167.5,167.55,165.88,166.27,166.27,4266616,1.67,1
5/8/2024,168.01,170.26,167.9,169.9,168.2105097,3522011,0,1
5/7/2024,169,169.29,167.94,168.38,166.7056246,3155260,0,1
5/6/2024,166.5,168.67,166.38,168.61,166.9333375,4222266,0,1
5/3/2024,165,166.61,164.92,165.71,164.0621752,3400405,0,1
5/2/2024,164.35,164.88,162.62,164.69,163.0523181,3829853,0,1
5/1/2024,165.69,166.27,164.3,164.43,162.7949035,4030960,0,1
4/30/2024,166.49,166.76,165.2605,166.2,164.5473026,6011634,0,1
4/29/2024,167.4,168.22,166.225,167.43,165.7650715,5263342,0,1
4/26/2024,167.5,167.87,165.73,167.13,165.4680547,8983796,0,1
4/25/2024,168.2,172.45,165.66,168.91,167.2303543,16702150,0,1
4/24/2024,183.17,184.29,181.4,184.1,182.2693045,7616643,0,1
4/23/2024,182.73,184.68,179,182.19,180.3782976,5950229,0,1
4/22/2024,182.45,183.315,180.45,181.9,180.0911814,3076451,0,1
4/19/2024,182.43,182.8,180.57,181.58,179.7743635,3037990,0,1
4/18/2024,182.35,183.46,180.17,181.47,179.6654573,2886733,0,1
4/17/2024,184.16,184.67,181.78,183.1,181.2792485,3003033,0,1
4/16/2024,185.59,185.71,182.86,183.75,181.9227849,4473654,0,1
4/15/2024,185.57,187.48,180.88,181.25,179.447645,3528140,0,1
4/12/2024,184,185.1699,181.685,182.27,180.4575021,3547378,0,1
4/11/2024,186.04,186.795,184.58,185.9,184.0514053,2861736,0,1
4/10/2024,187.42,187.915,185.52,186.04,184.1900131,3081915,0,1
4/9/2024,190.54,191.25,186.66,189.31,187.4274961,2790673,0,1
4/8/2024,189.24,190.24,188.9118,189.82,187.9324247,2673611,0,1
4/5/2024,188.59,190.32,188.02,189.14,187.2591866,2012428,0,1
4/4/2024,192,193.28,187.34,187.94,186.0711194,2924438,0,1
4/3/2024,188.6,191.35,188.485,190.9,189.0016851,2818910,0,1
4/2/2024,189.14,189.8,187.6,188.88,187.0017721,2689711,0,1
4/1/2024,190,190.46,188.52,189.83,187.9423252,2362586,0,1
3/28/2024,190.94,191.9299,190.34,190.96,189.0610885,3742169,0,1
3/27/2024,189.6,190.96,188.6,190.8,188.9026795,3693305,0,1
3/26/2024,189.02,190,188.5,188.5,186.6255508,4229535,0,1
3/25/2024,190.26,190.82,188.75,188.79,186.912667,3718289,0,1
3/22/2024,192,192.985,190.51,190.84,188.9422818,3988398,0,1
3/21/2024,193,193.37,190.01,191.9,189.9917411,6013561,0,1
3/20/2024,192.87,193.98,191.31,193.96,192.0312564,3238643,0,1
3/19/2024,191.49,193.58,190.28,193.34,191.4174217,5317341,0,1
3/18/2024,191.7,193.23,190.32,191.69,189.7838293,5410562,0,1
3/15/2024,191.99,193.0573,190.7,191.07,189.1699946,8828184,0,1
3/14/2024,196.95,197.748,192.12,193.43,191.5065267,4102202,0,1
3/13/2024,197.55,198.1,195.32,196.7,194.7440098,3960737,0,1
3/12/2024,192.46,199.18,192.15,197.78,195.8132702,5862512,0,1
3/11/2024,195.09,195.38,190.88,191.73,189.8234316,4712688,0,1
3/8/2024,196.06,197.77,194.38,195.95,194.0014678,3943113,0,1
3/7/2024,197.58,198.73,196.14,196.54,194.5856008,4604458,0,1
3/6/2024,193.5,198.13,192.96,196.16,194.2093795,6945818,0,1
3/5/2024,192,193.94,190.57,191.95,190.0412439,5653641,0,1
3/4/2024,187.76,193.898,187.6,193.06,191.140206,7938266,0,1
3/1/2024,185.49,188.38,185.18,188.2,186.328534,4018354,0,1
2/29/2024,186.15,186.8495,184.69,185.03,183.1900566,6458487,0,1
2/28/2024,184.63,185.37,183.55,185.3,183.4573717,3216345,0,1
2/27/2024,184.16,185.13,182.62,184.87,183.0316476,3641378,0,1
2/26/2024,185.6,186.125,184.06,184.13,182.2990062,4620815,0,1
2/23/2024,184.9,186.455,184.57,185.72,183.8731952,3433800,0,1
2/22/2024,182.45,184.55,181.93,184.21,182.3782107,5078398,0,1
2/21/2024,182.56,183.03,178.75,179.7,177.9130582,4728473,0,1
2/20/2024,187.64,188.77,183.06,183.44,181.6158676,4247181,0,1
2/16/2024,186.63,188.95,185.9452,187.64,185.7741027,4842840,0,1
2/15/2024,183.62,186.98,183.62,186.87,185.0117596,4714301,0,1
2/14/2024,185,185,182.26,183.57,181.7445748,3173391,0,1
2/13/2024,184.28,184.77,182.36,183.7,181.8732821,4290453,0,1
2/12/2024,185.9,186.48,184.03,186.16,184.3088198,4724021,0,1
2/9/2024,184.44,187.18,183.85,186.34,184.4870299,5064641,0,1
2/8/2024,182.63,184.55,181.49,184.36,182.5267191,5161185,1.66,1
2/7/2024,183.34,184.02,182.625,183.74,180.2895353,4841188,0,1
2/6/2024,183.55,184.68,183.04,183.41,179.9657324,3338196,0,1
2/5/2024,185.51,185.78,183.255,183.42,179.9755446,4379602,0,1
2/2/2024,187.1,187.39,185.615,185.79,182.3010383,4055411,0,1
2/1/2024,183.63,187.51,182.71,186.9,183.3901935,4669444,0,1
1/31/2024,187.05,187.65,183.14,183.66,180.2110377,8876055,0,1
1/30/2024,187.71,188.65,186.77,187.87,184.3419778,4575058,0,1
1/29/2024,187.46,189.46,186.05,187.14,183.6256865,6107908,0,1
1/26/2024,191.31,192.3896,186.16,187.42,183.9004284,9895941,0,1
1/25/2024,184.96,196.9,184.83,190.43,186.8539034,29596239,0,1
1/24/2024,174.76,174.86,172.9,173.93,170.6637579,7831157,0,1
1/23/2024,172.9,174.02,172.48,173.94,170.6735701,3983461,0,1
1/22/2024,172.82,174.45,172.4,172.83,169.5844149,4925964,0,1
1/19/2024,170.59,171.5791,169.18,171.48,168.2597666,6929079,0,1
1/18/2024,166.49,166.99,165.04,166.84,163.7069015,3776990,0,1
1/17/2024,166.79,167.82,165.495,166.08,162.9611735,4288604,0,1
1/16/2024,165.8,167.25,165.34,166.96,163.824648,4869635,0,1
1/12/2024,162.97,165.98,162.355,165.8,162.6864317,4958261,0,1
1/11/2024,161.02,162.23,160.29,162.16,159.1147875,3778395,0,1
1/10/2024,160.28,161.34,159.74,161.23,158.202252,2967852,0,1
1/9/2024,160,160.4837,159.51,160.08,157.0738479,2617186,0,1
